title,calendarium_romanum,cantus,romcal
"Adalbert, bishop and martyr",adalbert,14042310,
"Agatha, virgin and martyr",agatha,14020500,saintAgathaVirginAndMartyr
"Agnes, virgin and martyr",agnes,14012100,saintAgnesVirginAndMartyr
"Albert the Great, bishop and doctor",albert,14111550,saintAlbertTheGreatBishopAndDoctor
All Saints,all_saints,14110100,
All Souls,all_souls,,allSouls
"Aloysius Gonzaga, religious",aloysius,14062120,saintAloysiusGonzagaReligious
"Alphonsus Maria de Liguori, bishop and doctor of the Church",alphonsus,14080210,saintAlphonsusMariaDeLiguoriBishopAndDoctorOfTheChurch
"Ambrose, bishop and doctor",ambrose,14040400,saintAmbroseBishopAndDoctor
"Andrew Dung Lac and his companions, martyrs",vietnamese_martyrs,,saintAndrewDungLacAndCompanionsMartyrs
"Andrew Kim Taegon, priest, and Paul Chong Hasang and companions, martyrs",korean_martyrs,,saintAndrewKimTaegonPriestAndPaulChongHasangAndCompanionsMartyrs
Andrew the Apostle,andrew,14113000,saintAndrewTheApostle
"Angela Merici, virgin",merici,14053120,saintAngelaMericiVirgin
Annunciation of the Lord,annunciation,14032500,
"Anselm of Canterbury, bishop and doctor of the Church",anselm,14042100,saintAnselmOfCanterburyBishopAndDoctorOfTheChurch
"Ansgar, bishop",ansgar,14020310,
"Anthony Mary Claret, bishop",claret,14102330,saintAnthonyMaryClaretBishop
"Anthony Zaccaria, priest",anthony_zaccaria,14070500,saintAnthonyZaccariaPriest
"Anthony of Egypt, abbot",anthony_of_egypt,14011700,saintAnthonyOfEgyptAbbot
"Anthony of Padua, priest and doctor",anthony_of_padua,14061300,saintAnthonyOfPaduaPriestAndDoctor
"Apollinaris, bishop and martyr",apollinaris,14072320,saintApollinaris
Assumption of the Blessed Virgin Mary,assumption,14081500,
"Athanasius, bishop and doctor",athanasius,14050200,saintAthanasiusBishopAndDoctor
"Augustine (Austin) of Canterbury, bishop",augustine_of_canterbury,14052610,saintAugustineOfCanterburyBishop
"Augustine Zhao Rong and companions, martyrs",chinese_martyrs,,saintsAugustineZhaoRongPriestAndCompanionsMartyrs
"Augustine of Hippo, bishop and doctor of the Church",augustine,14082800,saintAugustineOfHippoBishopAndDoctorOfTheChurch
Barnabas the Apostle,barnabas,14061100,saintBarnabasTheApostle
Bartholomew the Apostle,bartholomew,14082400,saintBartholomewTheApostle
"Bede the Venerable, priest and doctor",bede_venerable,14052600,saintBedeTheVenerablePriestAndDoctorSaintGregoryViiPopeSaintMaryMagdaleneDePazziVirgin
"Benedict, abbot",benedict,14032100,saintBenedictOfNursiaAbbot
"Bernard of Clairvaux, abbot and doctor of the Church",bernard,14082010,saintBernardOfClairvauxAbbotAndDoctorOfTheChurch
"Bernardine of Siena, priest",bernardine,14052010,saintBernardineOfSienaPriest
"Birgitta, religious",birgitta,14100840,saintBridgetOfSwedenReligious
